value
Bamboo/Spendex 93/7
Bamboo/Spendex 95/5
BCI Cotton /100
BCI Cotton/Spandex 95/5
Cotton /100
OE Cotton /100
Cotton/Modal/Spandex 57/38/5
Cotton/polyester/Spandex 58/37/5
Cotton/Poly 50/50
Cotton/Poly 60/40
Cotton/Poly75/25
Cotton/Recycled poly 60/40
Cotton/Spandex 95/5
Cotton/Polyester  90/10
GOTS Cotton /100
GOTS Cotton/Spandex 95/5
Modal/Cotton/Recycled poly 40/35/25
Modal/Spandex 93/7
Nylon/Poly/Spandex 50/37/13
Nylon/Spanex 84/16
Nylon/Spendex 76/24
Poly /100
Poly/Spandex 87/13
Poly/Spandex 94/6
Rayon/Poly 60/40
Rayon/Spandex 96/4
Recycle Nylon/Spanex 84/16
Recycle Poly /100
Recycle Poly/Spandex 94/6
Poly/Span 87/13
Poly/Span 92/8
Recycle Poly/Span 87/13
Recycle Poly/Span 92/8
Cotton/ Rec Poly 60/40
