country,cost_rate
CHINA,0.09538088537959791
VIETNAM,0.07792358972174077
INDIA,0.046536564304826764
BANGLADESH,0.05166238869928356
PAKISTAN,0.05412762985177723
CAMBODIA,0.08132697001206629
MALAYSIA,0.14371666118106544
INDONESIA,0.045071621684178984
JORDAN,0.1225075746341087
THAILAND,0.0965888843642209
LAOS,0.03831796521971689
SRI LANKA,0.021762440260517556
KENYA,0.03472947426739972
EGYPT,0.03721887415369345
SOUTH AFRICA,0.07536302673548494
