gender,product,seam,size,sam_minutes
Men,Sleeveless Shirt (Crew Neck),No Seam,S-XL,2.2
Men,Sleeveless Shirt (Crew Neck),No Seam,S-3XL,2.3540000000000005
Men,Sleeveless Shirt (Crew Neck),No Seam,2XL-3XL,2.518780000000001
Men,Sleeveless Shirt (Crew Neck),Side Seam,S-XL,2.5999999999999996
Men,Sleeveless Shirt (Crew Neck),Side Seam,S-3XL,2.7819999999999996
Men,Sleeveless Shirt (Crew Neck),Side Seam,2XL-3XL,2.97674
Women,Sleeveless Shirt (Crew Neck),No Seam,S-XL,2.0999999999999996
Women,Sleeveless Shirt (Crew Neck),No Seam,S-3XL,2.247
Women,Sleeveless Shirt (Crew Neck),No Seam,2XL-3XL,2.40429
Women,Sleeveless Shirt (Crew Neck),Side Seam,S-XL,2.5
Women,Sleeveless Shirt (Crew Neck),Side Seam,S-3XL,2.6750000000000003
Women,Sleeveless Shirt (Crew Neck),Side Seam,2XL-3XL,2.8622500000000004
Kids,Sleeveless Shirt (Crew Neck),No Seam,S-XL,1.9000000000000001
Kids,Sleeveless Shirt (Crew Neck),No Seam,S-3XL,2.0330000000000004
Kids,Sleeveless Shirt (Crew Neck),No Seam,2XL-3XL,2.1753100000000005
Kids,Sleeveless Shirt (Crew Neck),Side Seam,S-XL,2.4000000000000004
Kids,Sleeveless Shirt (Crew Neck),Side Seam,S-3XL,2.5680000000000005
Kids,Sleeveless Shirt (Crew Neck),Side Seam,2XL-3XL,2.747760000000001
Men,Sleeveless Shirt (V Neck),No Seam,S-XL,2.64
Men,Sleeveless Shirt (V Neck),No Seam,S-3XL,2.8248000000000006
Men,Sleeveless Shirt (V Neck),No Seam,2XL-3XL,3.022536000000001
Men,Sleeveless Shirt (V Neck),Side Seam,S-XL,3.1199999999999997
Men,Sleeveless Shirt (V Neck),Side Seam,S-3XL,3.3383999999999996
Men,Sleeveless Shirt (V Neck),Side Seam,2XL-3XL,3.572088
Women,Sleeveless Shirt (V Neck),No Seam,S-XL,2.5199999999999996
Women,Sleeveless Shirt (V Neck),No Seam,S-3XL,2.6963999999999997
Women,Sleeveless Shirt (V Neck),No Seam,2XL-3XL,2.885148
Women,Sleeveless Shirt (V Neck),Side Seam,S-XL,3.0
Women,Sleeveless Shirt (V Neck),Side Seam,S-3XL,3.2100000000000004
Women,Sleeveless Shirt (V Neck),Side Seam,2XL-3XL,3.4347000000000003
Kids,Sleeveless Shirt (V Neck),No Seam,S-XL,2.2800000000000002
Kids,Sleeveless Shirt (V Neck),No Seam,S-3XL,2.4396000000000004
Kids,Sleeveless Shirt (V Neck),No Seam,2XL-3XL,2.6103720000000004
Kids,Sleeveless Shirt (V Neck),Side Seam,S-XL,2.8800000000000003
Kids,Sleeveless Shirt (V Neck),Side Seam,S-3XL,3.0816000000000003
Kids,Sleeveless Shirt (V Neck),Side Seam,2XL-3XL,3.297312000000001
