fabric,design,using_part,usage_s_xl,usage_2xl_3xl,usage_s_3xl,k7_key
TUBULAR,T_Shirt_No_Seam,Binding Sleeve Hem Opening,0.0194,0.02134,0.020346891654500942,T_Shirt_No_Seam
TUBULAR,T_Shirt_No_Seam,Pocket bag,0.0201,0.02814,0.023782640728060456,T_Shirt_No_Seam
TUBULAR,T_Shirt_No_Seam,Not specific yet,1.0,1.1,1.0488088481701516,T_Shirt_No_Seam
OPEN WIDTH,Long_Sleeve_Shirt_Side_Seam,Whole Garment,1.167,1.69215,1.405254087345061,Long_Sleeve_Shirt_Side_Seam
OPEN WIDTH,Long_Sleeve_Shirt_Side_Seam,Body & Sleeves,1.1400000000000001,1.653,1.3727417819823218,Long_Sleeve_Shirt_Side_Seam
OPEN WIDTH,Long_Sleeve_Shirt_Side_Seam,Collar,0.027,0.03915,0.0325123053627392,Long_Sleeve_Shirt_Side_Seam
OPEN WIDTH,Long_Sleeve_Shirt_Side_Seam,Sleeves Panel,0.45999999999999996,0.6669999999999999,0.5539133506244456,Long_Sleeve_Shirt_Side_Seam
OPEN WIDTH,Long_Sleeve_Shirt_Side_Seam,Front Body Panel,0.34,0.493,0.40941421567893804,Long_Sleeve_Shirt_Side_Seam
OPEN WIDTH,Long_Sleeve_Shirt_Side_Seam,Back Body Panel,0.34,0.493,0.40941421567893804,Long_Sleeve_Shirt_Side_Seam
OPEN WIDTH,Long_Sleeve_Shirt_Side_Seam,Gusset Under Arms,0.073,0.10584999999999999,0.08790364042518375,Long_Sleeve_Shirt_Side_Seam
OPEN WIDTH,Long_Sleeve_Shirt_Side_Seam,Insert Side Panel (cut part),0.05,0.0725,0.06020797289396147,Long_Sleeve_Shirt_Side_Seam
OPEN WIDTH,Long_Sleeve_Shirt_Side_Seam,Back Neck Tape,0.0098,0.014209999999999999,0.01180076268721645,Long_Sleeve_Shirt_Side_Seam
