value
BANGLADESH
CAMBODIA
CHINA
EGYPT
INDIA
INDONESIA
JORDAN
KENYA
LAOS
MALAYSIA
PAKISTAN
SOUTH AFRICA
SRI LANKA
THAILAND
VIETNAM
